postal_code,municipality,num_municipalities,total_addresses,location_type,location_confidence,validity_status,is_actual_location,error,scraped_successfully
1,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
17,FENNIA,1,3.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
31,GE,1,49.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
101,HELSINGFORS,1,2180.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
141,HELSINGFORS,1,60.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
381,HELSINGFORS,1,492.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
521,HELSINGFORS,1,268.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
781,"HELSINGFORS, HELSINKI",2,14.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
841,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
1391,VANDA,1,70.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
1531,VANDA,1,524.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
2471,"UPINNIEMI, OBBNÄS",2,9.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
2611,ESBO,1,72.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
2941,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
4131,SIBBO,1,102.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
4401,JÄRVENPÄÄ,1,240.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
4431,JÄRVENPÄÄ,1,190.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
5401,JOKELA,1,20.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
6151,BORGÅ,1,126.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
6451,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
7171,PORNAINEN,1,8.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
7565,KANTELE,1,237.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
7899,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
7901,LOVISA,1,146.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
7945,KUGGOM,1,662.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
7955,"TESJOKI, TESSJÖ",2,1533.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
7999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
9999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
10211,INGÅ,1,92.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
10601,EKENÄS,1,228.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
10611,"RASEBORG, RAASEPORI",2,18.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
10901,HANGÖ,1,304.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
11111,RIIHIMÄKI,1,198.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
14999,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
15861,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
15951,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
17801,KUHMOINEN,1,32.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
18007,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
19651,JOUTSA,1,78.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
19701,SYSMÄ,1,50.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
20781,KAARINA,1,280.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
20811,ÅBO,1,52.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
21195,VELKUA,1,305.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
21251,MASKU,1,42.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
21555,TAATILA,1,220.0,ACTUAL_LOCATION,0.95,VALID_WITH_ADDRESSES,True,,True
21571,SAUVO,1,50.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
21601,PARGAS,1,288.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
21661,NAGU,1,56.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
21711,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
21901,YLÄNE,1,60.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
23801,LAITILA,1,42.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
24003,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
24101,SALO,1,484.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
25003,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
25701,KIMITO,1,122.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
27501,KAUTTUA,1,8.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
28401,ULVILA,1,118.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
32301,,0,,NONEXISTENT,0.0,NONEXISTENT,False,Postal code does not exist in Posti database,False
33101,TAMPERE,1,1086.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
33211,TAMPERE,1,152.0,POST_BOX,0.0,VALID_WITH_ADDRESSES,False,,True
