postal_code,municipality,num_municipalities,total_addresses,location_type,location_confidence,validity_status,is_actual_location,error,scraped_successfully
00001,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
00017,,0,3,POST_BOX,0.95,VALID_POST_BOX,True,,True
00031,,0,49,POST_BOX,0.95,VALID_POST_BOX,True,,True
00101,,0,2180,POST_BOX,0.95,VALID_POST_BOX,True,,True
00141,,0,60,POST_BOX,0.95,VALID_POST_BOX,True,,True
00381,,0,492,POST_BOX,0.95,VALID_POST_BOX,True,,True
00521,,0,268,POST_BOX,0.95,VALID_POST_BOX,True,,True
00781,,0,14,POST_BOX,0.95,VALID_POST_BOX,True,,True
00841,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
01391,,0,70,POST_BOX,0.95,VALID_POST_BOX,True,,True
01531,,0,524,POST_BOX,0.95,VALID_POST_BOX,True,,True
02471,,0,9,POST_BOX,0.95,VALID_POST_BOX,True,,True
02611,,0,72,POST_BOX,0.95,VALID_POST_BOX,True,,True
02941,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
04131,,0,102,POST_BOX,0.95,VALID_POST_BOX,True,,True
04401,,0,240,POST_BOX,0.95,VALID_POST_BOX,True,,True
04431,,0,190,POST_BOX,0.95,VALID_POST_BOX,True,,True
05401,,0,20,POST_BOX,0.95,VALID_POST_BOX,True,,True
06151,,0,126,POST_BOX,0.95,VALID_POST_BOX,True,,True
06451,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
07171,,0,8,POST_BOX,0.95,VALID_POST_BOX,True,,True
07565,,0,237,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
07899,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
07901,,0,146,POST_BOX,0.95,VALID_POST_BOX,True,,True
07945,,0,662,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
07955,,0,1533,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
07999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
09999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
10211,,0,92,POST_BOX,0.95,VALID_POST_BOX,True,,True
10601,,0,228,POST_BOX,0.95,VALID_POST_BOX,True,,True
10611,,0,18,POST_BOX,0.95,VALID_POST_BOX,True,,True
10901,,0,304,POST_BOX,0.95,VALID_POST_BOX,True,,True
11111,,0,198,POST_BOX,0.95,VALID_POST_BOX,True,,True
14999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
15861,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
15951,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
17801,,0,32,POST_BOX,0.95,VALID_POST_BOX,True,,True
18007,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
19651,,0,78,POST_BOX,0.95,VALID_POST_BOX,True,,True
19701,,0,50,POST_BOX,0.95,VALID_POST_BOX,True,,True
20781,,0,280,POST_BOX,0.95,VALID_POST_BOX,True,,True
20811,,0,52,POST_BOX,0.95,VALID_POST_BOX,True,,True
21195,,0,305,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
21251,,0,42,POST_BOX,0.95,VALID_POST_BOX,True,,True
21555,,0,220,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
21571,,0,50,POST_BOX,0.95,VALID_POST_BOX,True,,True
